Latitude,Longitude,Elevation
41.71898000,-87.9929200,234.0
41.71895000,-87.9929600,234.0
41.71883000,-87.9931500,233.0
41.71882000,-87.9931800,233.0
41.71874000,-87.9933500,233.0
41.71872000,-87.9934200,233.0
41.71871000,-87.9934800,233.0
41.71872000,-87.9936300,233.0
41.71872000,-87.9937500,233.0
41.71874000,-87.9940600,234.0
41.71874000,-87.9943200,235.0
41.71875000,-87.9945300,236.0
41.71879000,-87.9947500,237.0
41.71879000,-87.9949000,237.0
41.71880000,-87.9951300,237.0
41.71881000,-87.9953100,237.0
41.71881000,-87.9954600,237.0
41.71879000,-87.9957000,236.0
41.71876000,-87.9958500,236.0
41.71871000,-87.9959800,236.0
41.71860000,-87.9961900,235.0
41.71853000,-87.9963100,235.0
41.71847000,-87.9963800,235.0
41.71840000,-87.9964500,234.0
41.71834000,-87.9965300,234.0
41.71828000,-87.9966100,234.0
41.71816000,-87.9968500,233.0
41.71812000,-87.9969400,233.0
41.71810000,-87.9970000,232.0
41.71807000,-87.9970200,232.0
41.71804000,-87.9970300,233.0
41.71799000,-87.9970300,233.0
41.71703000,-87.9970000,234.0
41.71644000,-87.9969800,231.0
41.71638000,-87.9969700,231.0
41.71633000,-87.9969600,231.0
41.71629000,-87.9969600,231.0
41.71625000,-87.9969700,231.0
41.71622000,-87.9969900,231.0
41.71619000,-87.9970300,231.0
41.71617000,-87.9970800,231.0
41.71614000,-87.9971300,231.0
41.71613000,-87.9971900,231.0
41.71612000,-87.9972800,231.0
41.71611000,-87.9973700,231.0
41.71610000,-87.9974200,231.0
41.71609000,-87.9974700,231.0
41.71607000,-87.9975000,232.0
41.71604000,-87.9975400,232.0
41.71600000,-87.9975900,232.0
41.71594000,-87.9976300,233.0
41.71590000,-87.9976600,233.0
41.71584000,-87.9976900,233.0
41.71580000,-87.9977000,233.0
41.71572000,-87.9977300,233.0
41.71564000,-87.9977700,233.0
41.71557000,-87.9978400,234.0
41.71553000,-87.9979200,234.0
41.71549000,-87.9980100,234.0
41.71545000,-87.9981400,234.0
41.71545000,-87.9982900,235.0
41.71545000,-87.9984200,235.0
41.71548000,-87.9985200,236.0
41.71552000,-87.9986400,236.0
41.71557000,-87.9987300,237.0
41.71559000,-87.9987900,237.0
41.71559000,-87.9988300,237.0
41.71558000,-87.9988900,237.0
41.71554000,-87.9989700,236.0
41.71549000,-87.9990600,236.0
41.71544000,-87.9992100,236.0
41.71541000,-87.9993400,235.0
41.71537000,-87.9994200,235.0
41.71535000,-87.9994700,235.0
41.71527000,-87.9995800,235.0
41.71524000,-87.9996200,235.0
41.71522000,-87.9996800,235.0
41.71520000,-87.9997400,235.0
41.71519000,-87.9998500,235.0
41.71519000,-87.9999500,236.0
41.71518000,-88.0000400,236.0
41.71516000,-88.0001000,235.0
41.71514000,-88.0001700,235.0
41.71512000,-88.0002300,235.0
41.71511000,-88.0003200,235.0
41.71510000,-88.0005000,235.0
41.71510000,-88.0005900,236.0
41.71512000,-88.0006600,236.0
41.71519000,-88.0008100,236.0
41.71521000,-88.0008800,237.0
41.71521000,-88.0009600,237.0
41.71519000,-88.0010900,237.0
41.71518000,-88.0011400,236.0
41.71510000,-88.0014100,234.0
41.71508000,-88.0015300,233.0
41.71506000,-88.0016400,232.0
41.71503000,-88.0017300,231.0
41.71501000,-88.0017800,231.0
41.71497000,-88.0018000,231.0
41.71493000,-88.0018200,230.0
41.71469000,-88.0018100,231.0
41.71441000,-88.0017800,231.0
